"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 13:22:09 MSK 2024","Fri Jan 19 13:22:15 MSK 2024","6296","tests","test_order_page","TestOrderPage","","","Проверка позитивного сценария заказа самоката 2","По клику на кнопку ""Заказать"" на странице открыть форму заказа, заполнить её валидными данными и проверить, что появилось всплывающее окно с сообщением об успешном создании заказа"
"passed","Fri Jan 19 13:22:30 MSK 2024","Fri Jan 19 13:22:33 MSK 2024","2399","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:23:05 MSK 2024","Fri Jan 19 13:23:08 MSK 2024","2255","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:21:14 MSK 2024","Fri Jan 19 13:21:16 MSK 2024","2186","tests","test_header_page","TestHeaderPage","","","Проверка перехода на главную страницу по клику на лого Самокат на хедере","Проверить переход на главную страницу Самоката по клику на лого ""Самокат"" на хедере страницы"
"passed","Fri Jan 19 13:23:58 MSK 2024","Fri Jan 19 13:24:00 MSK 2024","2060","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:22:48 MSK 2024","Fri Jan 19 13:22:50 MSK 2024","2485","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:24:16 MSK 2024","Fri Jan 19 13:24:18 MSK 2024","2417","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:24:33 MSK 2024","Fri Jan 19 13:24:35 MSK 2024","2208","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:23:41 MSK 2024","Fri Jan 19 13:23:43 MSK 2024","2156","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:23:23 MSK 2024","Fri Jan 19 13:23:25 MSK 2024","2611","tests","test_questions_page","TestQuestionsPage","","","Проверка соответствия текста ответа вопросу в разделе ""Вопросы о важном""","На странице найти элемент с вопросом, раскрыть выпадающий список с ответом и сверить соответствие ответа вопросу"
"passed","Fri Jan 19 13:21:30 MSK 2024","Fri Jan 19 13:21:34 MSK 2024","3079","tests","test_header_page","TestHeaderPage","","","Проверка перехода на главную страницу Дзена по клику на лого Яндекс на хедере","Проверить переход на главную страницу Дзена по клику на лого ""Яндекс"" на хедере страницы"
"passed","Fri Jan 19 13:21:48 MSK 2024","Fri Jan 19 13:21:54 MSK 2024","5934","tests","test_order_page","TestOrderPage","","","Проверка позитивного сценария заказа самоката 1","По клику на кнопку ""Заказать"" на хедере страницы открыть форму заказа, заполнить её валидными данными и проверить, что появилось всплывающее окно с сообщением об успешном создании заказа"
